date,total.nonUS,Africa.total,Africa.not.elsewhere.classified,Algeria,Angola,Ascension Island,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Island,Central African Republic,Chad,Chagos Archipelago,Comoros Islands,Congo-Brazzaville,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea.Bissau,Guinea.Equatorial,Ivory Coast,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius Islands,Morocco,Mozambique,Namibia,Niger,Nigeria,Reunion,Rwanda,So.Tom.and.Principe,Senegal,Seychelles Islands,Sierra Leone,Somalia Republic,South Africa,St. Helena Islands,Sudan,Swaziland,Tanzania,Togo,Tristan Da Cunha,Tunisia,Uganda,Western Sahara,Congo-Kinshasa,Zambia,Zimbabwe
Oct-87,189424,3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-87,111804,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-87,126683,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-88,85841,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-88,101838,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-88,134562,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-88,172073,2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-88,289973,3557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-88,365385,5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-88,538011,7961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-88,513775,7362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-88,369596,5269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-88,224811,3358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-88,144805,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-88,165190,3716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-89,115544,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-89,108493,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-89,154122,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-89,177710,2506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-89,306270,3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-89,390764,6430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-89,545543,7882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-89,528775,7720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-89,390545,5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-89,236816,3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-89,150460,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-89,171796,3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-90,122121,2209,12,69,16,0,12,11,5,8,33,2,0,2,0,0,11,1,218,,57,21,4,86,22,1,0,30,182,3,8,112,11,8,16,0,10,231,0,3,0,97,2,6,0,49,9,0,76,497,0,23,5,32,5,0,98,9,0,37,14,45
Feb-90,115706,1565,1,44,4,0,1,6,2,1,21,0,0,0,0,0,2,3,152,,43,9,1,36,3,0,0,10,133,3,5,85,6,7,15,0,13,171,5,5,0,91,0,2,0,24,16,5,47,363,0,9,12,26,4,0,39,16,0,54,16,54
Mar-90,148299,2119,6,71,7,0,5,7,4,4,42,0,1,0,1,4,2,6,219,,50,18,3,71,4,0,0,28,230,2,5,128,7,7,19,0,32,236,0,2,1,125,2,3,0,38,19,5,29,392,0,22,4,36,4,0,53,11,0,56,19,79
Apr-90,198495,2677,3,39,3,0,10,23,6,7,43,1,2,1,0,0,11,3,207,,47,24,6,92,27,2,0,42,296,0,29,70,11,17,26,0,59,225,3,5,6,111,79,24,0,66,28,8,50,587,0,35,8,63,15,0,31,17,0,66,44,99
May-90,300288,4674,15,95,14,0,9,30,26,22,90,0,0,8,0,0,5,6,499,,96,27,9,161,18,5,8,66,435,14,36,148,13,9,31,0,69,406,8,7,2,180,6,49,0,77,21,15,76,1112,4,37,5,139,40,0,162,33,0,99,73,159
